Entry	Entry name	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (ORF )
B6JUU9	B6JUU9_SCHJY	unreviewed	Kinesin motor domain-containing protein	SJAG_00042		SJAG_00042
B6JX52	B6JX52_SCHJY	unreviewed	ATP-dependent DNA helicase Rdh54	SJAG_00980		SJAG_00980
B6K7Q5	B6K7Q5_SCHJY	unreviewed	Rho1 guanine nucleotide exchange factor 2	SJAG_04771		SJAG_04771
B6K5W3	B6K5W3_SCHJY	unreviewed	DNA polymerase kappa	SJAG_04089		SJAG_04089
B6K5G6	B6K5G6_SCHJY	unreviewed	Histone H2B	SJAG_03941		SJAG_03941
B6K6M9	B6K6M9_SCHJY	unreviewed	Karyopherin Kap109	SJAG_04366		SJAG_04366
B6JV45	B6JV45_SCHJY	unreviewed	Switch-activating protein Sap1	SJAG_00247		SJAG_00247
B6K747	B6K747_SCHJY	unreviewed	CMGC/MAPK protein kinase Pmk1	SJAG_04551		SJAG_04551
B6JYY6	B6JYY6_SCHJY	unreviewed	AP-1 complex subunit gamma	SJAG_01809		SJAG_01809
B6K0D5	B6K0D5_SCHJY	unreviewed	Eukaryotic protein	SJAG_01328		SJAG_01328
B6JVP3	B6JVP3_SCHJY	unreviewed	DNA-directed RNA polymerase II complex subunit Rpb4	SJAG_00458		SJAG_00458
B6K7V8	B6K7V8_SCHJY	unreviewed	Uncharacterized protein	SJAG_04831		SJAG_04831
B6K450	B6K450_SCHJY	unreviewed	Autophagy specific phophatidylinositol 3-kinase complex subunit Atg14	SJAG_03403		SJAG_03403
B6K267	B6K267_SCHJY	unreviewed	CYSTM domain-containing protein	SJAG_02333		SJAG_02333
B6K178	B6K178_SCHJY	unreviewed	Uncharacterized protein	SJAG_02801		SJAG_02801
B6K709	B6K709_SCHJY	unreviewed	FHA domain-containing protein	SJAG_04512		SJAG_04512
B6JWZ7	B6JWZ7_SCHJY	unreviewed	OPT oligopeptide transporter Isp4	SJAG_00922		SJAG_00922
T0TB60	T0TB60_SCHJY	unreviewed	Histidine-containing response regulator phosphotransferase Mpr1 (Fragment)	SJAG_06592		SJAG_06592
B6JXM0	B6JXM0_SCHJY	unreviewed	Clr5 domain-containing protein	SJAG_00160		SJAG_00160
B6K512	B6K512_SCHJY	unreviewed	Sphingosine hydroxylase	SJAG_05311		SJAG_05311
B6K5D3	B6K5D3_SCHJY	unreviewed	FK506-binding protein (EC 5.2.1.8)	SJAG_03905		SJAG_03905
B6K538	B6K538_SCHJY	unreviewed	D-lactate dehydrogenase	SJAG_03804		SJAG_03804
B6K0F7	B6K0F7_SCHJY	unreviewed	DUF1766 family protein	SJAG_01350		SJAG_01350
B6JYZ0	B6JYZ0_SCHJY	unreviewed	Puf family RNA-binding protein	SJAG_01813		SJAG_01813
B6K4H6	B6K4H6_SCHJY	unreviewed	N-alpha-acetyltransferase 40 (EC 2.3.1.257)	SJAG_03537		SJAG_03537
B6JWT4	B6JWT4_SCHJY	unreviewed	Complexed with Cdc5 protein Cwf3	SJAG_00859		SJAG_00859
B6K6W3	B6K6W3_SCHJY	unreviewed	Fungal protein	SJAG_04463		SJAG_04463
B6K0X0	B6K0X0_SCHJY	unreviewed	RNA-binding protein	SJAG_02688		SJAG_02688
B6JXG8	B6JXG8_SCHJY	unreviewed	YjgF family protein Mmf1	SJAG_00107		SJAG_00107
B6K5H4	B6K5H4_SCHJY	unreviewed	ATPase	SJAG_03948		SJAG_03948
B6K121	B6K121_SCHJY	unreviewed	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	SJAG_02741		SJAG_02741
B6K4P6	B6K4P6_SCHJY	unreviewed	Hexose transporter Ght5	SJAG_03608		SJAG_03608
B6K776	B6K776_SCHJY	unreviewed	tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase (EC 2.1.1.282)	SJAG_05334		SJAG_05334
B6K4S0	B6K4S0_SCHJY	unreviewed	S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50)	SJAG_03632		SJAG_03632
B6K4Q6	B6K4Q6_SCHJY	unreviewed	RNA polymerase II transcription factor B 38 kDa subunit (RNA polymerase II transcription factor B p38 subunit) (RNA polymerase II transcription factor B subunit 3)	SJAG_03618		SJAG_03618
B6K4G0	B6K4G0_SCHJY	unreviewed	Transcription factor	SJAG_03519		SJAG_03519
B6JYI5	B6JYI5_SCHJY	unreviewed	Trehalose-phosphate synthase Tps2	SJAG_01646		SJAG_01646
B6K6P0	B6K6P0_SCHJY	unreviewed	Uncharacterized protein	SJAG_04377		SJAG_04377
B6JZI3	B6JZI3_SCHJY	unreviewed	V-type ATPase V0 subunit C	SJAG_02023		SJAG_02023
T0TB01	T0TB01_SCHJY	unreviewed	Methionine aminopeptidase (EC 3.4.11.18) (Fragment)	SJAG_06636		SJAG_06636
B6K715	B6K715_SCHJY	unreviewed	Hsp90 chaperone protein kinase-targeting subunit	SJAG_04518		SJAG_04518
B6K1J4	B6K1J4_SCHJY	unreviewed	Hydroxymethylbilane hydrolyase [cyclizing] (EC 4.2.1.75) (Uroporphyrinogen-III cosynthase)	SJAG_05283		SJAG_05283
B6JZA7	B6JZA7_SCHJY	unreviewed	SMR domain-containing protein	SJAG_01936		SJAG_01936
B6K6E9	B6K6E9_SCHJY	unreviewed	Ribosomal protein subunit S18	SJAG_04281		SJAG_04281
B6K7P1	B6K7P1_SCHJY	unreviewed	Clr6 histone deacetylase complex subunit Prw1	SJAG_04758		SJAG_04758
B6JYI6	B6JYI6_SCHJY	unreviewed	Sulfhydryl oxidase (EC 1.8.3.2)	SJAG_01647		SJAG_01647
B6JWY4	B6JWY4_SCHJY	unreviewed	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10)	MED10 SJAG_00909	MED10	SJAG_00909
B6JYW9	B6JYW9_SCHJY	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	SJAG_01790		SJAG_01790
B6JWV1	B6JWV1_SCHJY	unreviewed	Fungal protein	SJAG_00876		SJAG_00876
B6JYG8	B6JYG8_SCHJY	unreviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.-)	SJAG_01630		SJAG_01630
B6K1T5	B6K1T5_SCHJY	unreviewed	Armadillo repeat-containing protein 8	SJAG_02197		SJAG_02197
B6K671	B6K671_SCHJY	unreviewed	Xrcc4 like factor	SJAG_04199		SJAG_04199
B6K2Q0	B6K2Q0_SCHJY	unreviewed	CDC50 domain-containing protein	SJAG_02516		SJAG_02516
B6K3D5	B6K3D5_SCHJY	unreviewed	Verprolin	SJAG_03119		SJAG_03119
B6K0A4	B6K0A4_SCHJY	unreviewed	Kinesin-like protein	SJAG_01297		SJAG_01297
B6K5L6	B6K5L6_SCHJY	unreviewed	Sulfhydryl oxidase (EC 1.8.3.2)	SJAG_03992		SJAG_03992
B6K041	B6K041_SCHJY	unreviewed	Vacuolar protein sorting-associated protein 13a	SJAG_01229		SJAG_01229
B6K0P5	B6K0P5_SCHJY	unreviewed	Zf-C3HC4 type zinc finger	SJAG_02603		SJAG_02603
B6K484	B6K484_SCHJY	unreviewed	DASH complex subunit Dad3	SJAG_03437		SJAG_03437
B6K4Y3	B6K4Y3_SCHJY	unreviewed	Meiotic cohesin complex subunit Rec11	SJAG_03698		SJAG_03698
B6K232	B6K232_SCHJY	unreviewed	Polyamine N-acetyltransferase	SJAG_02296		SJAG_02296
B6K804	B6K804_SCHJY	unreviewed	U6 snRNA-associated Sm-like protein LSm1	LSM1 SJAG_04880	LSM1	SJAG_04880
B6K6Q4	B6K6Q4_SCHJY	unreviewed	Phosphatidylinositol kinase Pik1	SJAG_05330		SJAG_05330
B6K036	B6K036_SCHJY	unreviewed	Sec14 cytosolic factor family protein	SJAG_01225		SJAG_01225
B6K441	B6K441_SCHJY	unreviewed	Metallopeptidase	SJAG_03393		SJAG_03393
B6K2L4	B6K2L4_SCHJY	unreviewed	cAMP-specific phosphodiesterase Cgs2	SJAG_02481		SJAG_02481
B6JYK2	B6JYK2_SCHJY	unreviewed	Uncharacterized protein	SJAG_01663		SJAG_01663
B6K5G1	B6K5G1_SCHJY	unreviewed	Sid2-Mob1 kinase complex regulatory subunit Mob1	SJAG_03936		SJAG_03936
B6K4U4	B6K4U4_SCHJY	unreviewed	ER-localized ubiquitin ligase Doa10	SJAG_03657		SJAG_03657
B6JZY3	B6JZY3_SCHJY	unreviewed	Pseudouridine synthase (EC 5.4.99.-)	SJAG_01172		SJAG_01172
B6K3E0	B6K3E0_SCHJY	unreviewed	Phrenate dehydratase	SJAG_03124		SJAG_03124
B6JZ48	B6JZ48_SCHJY	unreviewed	Citrate transporter	SJAG_01872		SJAG_01872
T0S0Z5	T0S0Z5_SCHJY	unreviewed	Uncharacterized protein	SJAG_05740		SJAG_05740
B6K6D0	B6K6D0_SCHJY	unreviewed	Kinetochore protein Spc7	SJAG_04259		SJAG_04259
B6K0W9	B6K0W9_SCHJY	unreviewed	Phosphatase activator	SJAG_02687		SJAG_02687
B6JUR8	B6JUR8_SCHJY	unreviewed	C2H2-type domain-containing protein	SJAG_00007		SJAG_00007
B6K5R7	B6K5R7_SCHJY	unreviewed	PARP-type domain-containing protein	SJAG_04043		SJAG_04043
B6K6X6	B6K6X6_SCHJY	unreviewed	40S ribosomal protein S20	SJAG_04476		SJAG_04476
B6JUV9	B6JUV9_SCHJY	unreviewed	Amino acid permease	SJAG_00019		SJAG_00019
B6JUY2	B6JUY2_SCHJY	unreviewed	Exonuclease Rex3	SJAG_00081		SJAG_00081
B6JW93	B6JW93_SCHJY	unreviewed	Sleepy Slp1	SJAG_00666		SJAG_00666
B6K305	B6K305_SCHJY	unreviewed	Phosphoglycerate mutase family protein	SJAG_02984		SJAG_02984
B6K645	B6K645_SCHJY	unreviewed	30S ribosomal protein S12	SJAG_04173		SJAG_04173
B6JZN2	B6JZN2_SCHJY	unreviewed	Cell division control protein	SJAG_02074		SJAG_02074
B6K8E1	B6K8E1_SCHJY	unreviewed	Structural maintenance of chromosomes protein	SJAG_05019		SJAG_05019
B6K5I0	B6K5I0_SCHJY	unreviewed	U6 snRNP-associated protein Lsm6	SJAG_03954		SJAG_03954
B6K8D2	B6K8D2_SCHJY	unreviewed	mRNA decapping complex catalytic subunit Dcp2	SJAG_05010		SJAG_05010
B6JVB1	B6JVB1_SCHJY	unreviewed	Response regulator Mcs4	SJAG_00318		SJAG_00318
B6JYC7	B6JYC7_SCHJY	unreviewed	HisK/Mak3 protein kinase Mak3	SJAG_01587		SJAG_01587
B6K077	B6K077_SCHJY	unreviewed	Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.205) (2'-O-ribose RNA methyltransferase TRM7 homolog)	SJAG_01269		SJAG_01269
B6JYD9	B6JYD9_SCHJY	unreviewed	WD repeat protein	SJAG_01599		SJAG_01599
B6K540	B6K540_SCHJY	unreviewed	ATP-dependent DNA helicase Snf22	SJAG_05313		SJAG_05313
B6K4V7	B6K4V7_SCHJY	unreviewed	Cystathionine beta-lyase	SJAG_03671		SJAG_03671
B6JYB0	B6JYB0_SCHJY	unreviewed	Phosphatidylinositol 4-kinase (EC 2.7.1.67)	SJAG_01571		SJAG_01571
B6JY05	B6JY05_SCHJY	unreviewed	Multi-copy suppressor-Chk1	SJAG_01465		SJAG_01465
B6K6V2	B6K6V2_SCHJY	unreviewed	Elongator complex subunit Elp6	SJAG_04452		SJAG_04452
B6K530	B6K530_SCHJY	unreviewed	Ribonuclease P/MRP protein subunit POP5 (EC 3.1.26.5)	SJAG_03796		SJAG_03796
B6JYM2	B6JYM2_SCHJY	unreviewed	Peroxin Pex32	SJAG_01685		SJAG_01685
B6K768	B6K768_SCHJY	unreviewed	Histone-lysine N-methyltransferase (EC 2.1.1.355)	SJAG_04574		SJAG_04574
B6K4W8	B6K4W8_SCHJY	unreviewed	Condensin complex non-SMC subunit Cnd3	SJAG_03682		SJAG_03682
B6K2J1	B6K2J1_SCHJY	unreviewed	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)	SJAG_02462		SJAG_02462
B6JZ90	B6JZ90_SCHJY	unreviewed	Myb family protein	SJAG_01916		SJAG_01916
T0S2X7	T0S2X7_SCHJY	unreviewed	LYR family protein	SJAG_06617		SJAG_06617
B6JVX5	B6JVX5_SCHJY	unreviewed	Elongin-A	SJAG_00540		SJAG_00540
B6K4D0	B6K4D0_SCHJY	unreviewed	CAMKK/ELM protein kinase Ssp1	SJAG_03486		SJAG_03486
B6K896	B6K896_SCHJY	unreviewed	Post-GPI attachment to proteins factor 3	SJAG_04975		SJAG_04975
B6JVJ2	B6JVJ2_SCHJY	unreviewed	DNAJ domain-containing protein Scj1	SJAG_00403		SJAG_00403
B6K830	B6K830_SCHJY	unreviewed	Mannosyltransferase	SJAG_04906		SJAG_04906
B6K2L3	B6K2L3_SCHJY	unreviewed	Uncharacterized protein	SJAG_02480		SJAG_02480
B6JWQ6	B6JWQ6_SCHJY	unreviewed	Thiamine pyrophosphate transporter	SJAG_00835		SJAG_00835
B6K332	B6K332_SCHJY	unreviewed	Chitin deacetylase Cda1	SJAG_03013		SJAG_03013
B6K2B8	B6K2B8_SCHJY	unreviewed	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61 (EC 2.1.1.220)	SJAG_02386		SJAG_02386
B6K1M1	B6K1M1_SCHJY	unreviewed	Uncharacterized protein	SJAG_02132		SJAG_02132
B6K0T0	B6K0T0_SCHJY	unreviewed	Ribosome biogenesis regulatory protein	SJAG_02644		SJAG_02644
B6K5A5	B6K5A5_SCHJY	unreviewed	Uncharacterized protein	SJAG_03875		SJAG_03875
B6K0R9	B6K0R9_SCHJY	unreviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 110 kDa subunit homolog) (eIF3 p110) (Translation initiation factor eIF3, p110 subunit homolog)	TIF32 SJAG_02628	TIF32	SJAG_02628
B6K261	B6K261_SCHJY	unreviewed	Uncharacterized protein	SJAG_02327		SJAG_02327
B6K4N8	B6K4N8_SCHJY	unreviewed	Rho guanine nucleotide exchange factor	SJAG_03600		SJAG_03600
B6K7Q4	B6K7Q4_SCHJY	unreviewed	Alpha-1,6-mannosyltransferase Och1	SJAG_04770		SJAG_04770
B6K783	B6K783_SCHJY	unreviewed	ATP-dependent RNA helicase Uap56	SJAG_04589		SJAG_04589
B6JZK5	B6JZK5_SCHJY	unreviewed	EB1 family Mal3	SJAG_02045		SJAG_02045
B6JZT8	B6JZT8_SCHJY	unreviewed	60S acidic ribosomal protein P2B subunit	SJAG_01128		SJAG_01128
B6K2C8	B6K2C8_SCHJY	unreviewed	FRG1 family protein	SJAG_02396		SJAG_02396
B6K5L4	B6K5L4_SCHJY	unreviewed	Proteasome interacting protein	SJAG_03990		SJAG_03990
B6K0Z9	B6K0Z9_SCHJY	unreviewed	Enoyl reductase	SJAG_02717		SJAG_02717
B6JZS9	B6JZS9_SCHJY	unreviewed	SEL1 repeat protein Nif1	SJAG_01118		SJAG_01118
B6K4H3	B6K4H3_SCHJY	unreviewed	Ribosome biogenesis ATPase	SJAG_03534		SJAG_03534
B6K2Z5	B6K2Z5_SCHJY	unreviewed	Fungal protein	SJAG_02974		SJAG_02974
B6JWF3	B6JWF3_SCHJY	unreviewed	DNA replication factor C complex subunit Rfc4	SJAG_00729		SJAG_00729
B6K752	B6K752_SCHJY	unreviewed	Uncharacterized protein	SJAG_04557		SJAG_04557
B6K2Z2	B6K2Z2_SCHJY	unreviewed	Uncharacterized protein	SJAG_02970		SJAG_02970
B6JXL5	B6JXL5_SCHJY	unreviewed	Uncharacterized protein	SJAG_05179		SJAG_05179
B6K5Q4	B6K5Q4_SCHJY	unreviewed	40S ribosomal protein S8	SJAG_04029		SJAG_04029
B6K3I5	B6K3I5_SCHJY	unreviewed	MSP domain-containing protein	SJAG_03170		SJAG_03170
B6JXU3	B6JXU3_SCHJY	unreviewed	Malic acid transporter Mae1	SJAG_01406		SJAG_01406
B6JYZ6	B6JYZ6_SCHJY	unreviewed	U6 snRNA-associated Sm-like protein LSm8	LSM8 SJAG_01819	LSM8	SJAG_01819
B6K6Y2	B6K6Y2_SCHJY	unreviewed	Glutaminyl-tRNA synthetase (EC 6.1.1.18)	SJAG_04482		SJAG_04482
B6JXA4	B6JXA4_SCHJY	unreviewed	Alpha-1,3-glucan synthase (EC 2.4.1.183)	SJAG_01028		SJAG_01028
B6K835	B6K835_SCHJY	unreviewed	U1 snRNP-associated protein Usp102	SJAG_04911		SJAG_04911
B6K7A7	B6K7A7_SCHJY	unreviewed	GDP/GTP exchange factor	SJAG_04615		SJAG_04615
B6K442	B6K442_SCHJY	unreviewed	Transcriptional regulator	SJAG_03394		SJAG_03394
B6K5Q1	B6K5Q1_SCHJY	unreviewed	Uncharacterized protein	SJAG_04026		SJAG_04026
B6K0Q8	B6K0Q8_SCHJY	unreviewed	Uncharacterized protein	SJAG_02617		SJAG_02617
B6K7D7	B6K7D7_SCHJY	unreviewed	Nuclear pore complex associated protein	SJAG_04645		SJAG_04645
B6K6H2	B6K6H2_SCHJY	unreviewed	60S ribosomal protein L25	SJAG_04304		SJAG_04304
B6JXS6	B6JXS6_SCHJY	unreviewed	40S ribosomal protein S13	SJAG_01387		SJAG_01387
B6JVN1	B6JVN1_SCHJY	unreviewed	Complexed with Cdc5 protein Cwf15	SJAG_00446		SJAG_00446
B6K599	B6K599_SCHJY	unreviewed	TatD DNase family Scn1	SJAG_03868		SJAG_03868
B6K725	B6K725_SCHJY	unreviewed	U4/U6 X U5 tri-snRNP complex subunit Prp31	SJAG_04529		SJAG_04529
B6JZI9	B6JZI9_SCHJY	unreviewed	Vacuolar membrane amino acid uptake transporter Fnx2	SJAG_02029		SJAG_02029
B6K1C2	B6K1C2_SCHJY	unreviewed	Hemolysin-III family protein	SJAG_02847		SJAG_02847
B6JYG6	B6JYG6_SCHJY	unreviewed	Protein phosphatase methylesterase 1 (PME-1) (EC 3.1.1.-)	SJAG_01628		SJAG_01628
B6K5W1	B6K5W1_SCHJY	unreviewed	WDR68 family WD repeat protein	SJAG_04087		SJAG_04087
B6JXL9	B6JXL9_SCHJY	unreviewed	Transcription initiation factor IIE subunit beta	SJAG_00159		SJAG_00159
B6JVZ4	B6JVZ4_SCHJY	unreviewed	RNA methyltransferase (EC 2.1.1.-)	SJAG_00559		SJAG_00559
B6JXH8	B6JXH8_SCHJY	unreviewed	Stress activated MAP kinase interacting protein Sin1	SJAG_00117		SJAG_00117
B6K6H3	B6K6H3_SCHJY	unreviewed	Homoserine O-acetyltransferase	SJAG_04305		SJAG_04305
B6JXF6	B6JXF6_SCHJY	unreviewed	Karyopherin Kap113	SJAG_01083		SJAG_01083
B6K3T4	B6K3T4_SCHJY	unreviewed	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)	SJAG_03275		SJAG_03275
B6JY56	B6JY56_SCHJY	unreviewed	Uncharacterized protein	SJAG_01515		SJAG_01515
B6JW61	B6JW61_SCHJY	unreviewed	Mvp17/PMP22 family protein 2	SJAG_00631		SJAG_00631
B6K6J7	B6K6J7_SCHJY	unreviewed	rRNA processing protein Rrp15	SJAG_04330		SJAG_04330
B6K0B2	B6K0B2_SCHJY	unreviewed	Uncharacterized protein	SJAG_01306		SJAG_01306
B6K868	B6K868_SCHJY	unreviewed	Polynucleotide adenylyltransferase (EC 2.7.7.19)	SJAG_04946		SJAG_04946
B6JZ47	B6JZ47_SCHJY	unreviewed	Uncharacterized protein	SJAG_01871		SJAG_01871
