SJAG_03086	HGNC:706
SJAG_03543	HGNC:4764
SJAG_03543	HGNC:4765
SJAG_03543	HGNC:4766
SJAG_03543	HGNC:4768
SJAG_00302	HGNC:14456
SJAG_00302	HGNC:4764
SJAG_00302	HGNC:4765
SJAG_00302	HGNC:4766
SJAG_00302	HGNC:4768
SJAG_00335	HGNC:14456
SJAG_00335	HGNC:4764
SJAG_00335	HGNC:4765
SJAG_00335	HGNC:4766
SJAG_00335	HGNC:4768
SJAG_04211	HGNC:15759
SJAG_02401	HGNC:21577
SJAG_04203	HGNC:25903
SJAG_00544	HGNC:10442
SJAG_04342	HGNC:10442
SJAG_04201	HGNC:24259
SJAG_04198	HGNC:16785
SJAG_00315	HGNC:14279
SJAG_04197	HGNC:21108
SJAG_04332	HGNC:1725
SJAG_04332	HGNC:1726
SJAG_04332	HGNC:1727
SJAG_01945	HGNC:13531
SJAG_01945	HGNC:13533
SJAG_03774	HGNC:30220
SJAG_04335	HGNC:2553
SJAG_04681	HGNC:794
SJAG_04181	HGNC:21080
SJAG_04183	HGNC:2939
SJAG_04339	HGNC:15811
SJAG_04187	HGNC:30664
SJAG_04699	HGNC:1148
SJAG_04699	HGNC:1149
SJAG_04189	HGNC:21172
SJAG_04701	HGNC:15942
SJAG_04340	HGNC:12827
SJAG_06383	HGNC:28213
SJAG_02861	HGNC:10401
SJAG_04188	HGNC:10401
SJAG_04330	HGNC:24255
SJAG_01251	HGNC:20315
SJAG_00530	HGNC:25222
SJAG_00530	HGNC:16994
SJAG_03540	HGNC:28959
SJAG_00536	HGNC:25851
SJAG_02389	HGNC:21614
SJAG_02389	HGNC:17077
SJAG_02389	HGNC:16890
SJAG_00865	HGNC:23075
SJAG_02660	HGNC:17557
SJAG_01144	HGNC:9343
SJAG_01146	HGNC:24283
SJAG_01146	HGNC:28405
SJAG_04110	HGNC:16268
SJAG_04110	HGNC:24768
SJAG_04112	HGNC:24766
SJAG_04112	HGNC:20175
SJAG_04113	HGNC:12388
SJAG_04113	HGNC:7223
SJAG_02417	HGNC:7867
SJAG_04115	HGNC:19070
SJAG_02392	HGNC:3093
SJAG_02392	HGNC:3094
SJAG_02392	HGNC:3095
SJAG_02416	HGNC:11465
SJAG_04116	HGNC:24604
SJAG_02390	HGNC:3299
SJAG_02418	HGNC:6304
SJAG_02418	HGNC:6305
SJAG_02418	HGNC:6306
SJAG_01112	HGNC:18412
SJAG_01112	HGNC:18413
SJAG_04118	HGNC:10898
SJAG_01520	HGNC:16635
SJAG_01684	HGNC:5269
SJAG_00880	HGNC:17059
SJAG_03751	HGNC:24839
SJAG_00885	HGNC:10452
SJAG_00885	HGNC:17296
SJAG_00886	HGNC:25980
SJAG_03693	HGNC:9852
SJAG_03693	HGNC:9853
SJAG_00890	HGNC:22923
SJAG_03695	HGNC:17364
SJAG_03695	HGNC:17883
SJAG_00894	HGNC:21365
SJAG_00897	HGNC:1157
SJAG_03698	HGNC:11354
SJAG_03698	HGNC:11355
SJAG_03698	HGNC:11356
SJAG_00902	HGNC:20999
SJAG_00505	HGNC:12662
SJAG_00903	HGNC:28680
SJAG_00903	HGNC:32363
SJAG_00911	HGNC:15762
SJAG_05212	HGNC:25613
SJAG_00999	HGNC:1769
SJAG_03717	HGNC:11387
SJAG_01088	HGNC:6710
SJAG_01229	HGNC:1908
SJAG_01229	HGNC:23594
SJAG_00998	HGNC:15890
SJAG_00499	HGNC:18272
SJAG_00499	HGNC:25755
SJAG_00499	HGNC:25856
SJAG_00997	HGNC:14197
SJAG_00997	HGNC:14198
SJAG_01083	HGNC:20628
SJAG_00493	HGNC:14169
SJAG_00489	HGNC:28218
SJAG_00993	HGNC:6840
SJAG_00993	HGNC:6842
SJAG_00989	HGNC:26433
SJAG_01082	HGNC:1148
SJAG_01082	HGNC:1149
SJAG_03614	HGNC:28469
SJAG_01075	HGNC:10886
SJAG_01075	HGNC:14931
SJAG_00860	HGNC:14502
SJAG_02920	HGNC:26164
SJAG_02920	HGNC:30782
SJAG_02917	HGNC:31136
SJAG_05208	HGNC:21083
SJAG_00986	HGNC:20038
SJAG_00856	HGNC:16691
SJAG_02915	HGNC:16900
SJAG_05206	HGNC:26262
SJAG_01543	HGNC:389
SJAG_01543	HGNC:390
SJAG_01543	HGNC:24056
SJAG_05205	HGNC:13920
SJAG_03944	HGNC:17101
SJAG_00976	HGNC:2269
SJAG_00972	HGNC:29838
SJAG_00845	HGNC:8590
SJAG_00845	HGNC:8591
SJAG_00845	HGNC:8592
SJAG_03265	HGNC:25287
SJAG_00966	HGNC:20074
SJAG_03266	HGNC:4335
SJAG_03266	HGNC:4336
SJAG_00836	HGNC:840
SJAG_00964	HGNC:1424
SJAG_03267	HGNC:29029
SJAG_00959	HGNC:18277
SJAG_00831	HGNC:3007
SJAG_00826	HGNC:11131
SJAG_00826	HGNC:11132
SJAG_03664	HGNC:13606
SJAG_03664	HGNC:13610
SJAG_03664	HGNC:22224
SJAG_03664	HGNC:8920
SJAG_03664	HGNC:20672
SJAG_03666	HGNC:10362
SJAG_03669	HGNC:25576
SJAG_04735	HGNC:26091
SJAG_03670	HGNC:24877
SJAG_03670	HGNC:26825
SJAG_03672	HGNC:8965
SJAG_04017	HGNC:18017
SJAG_04014	HGNC:19696
SJAG_04014	HGNC:21060
SJAG_04013	HGNC:17791
SJAG_04013	HGNC:24715
SJAG_04013	HGNC:21710
SJAG_04013	HGNC:29097
SJAG_03681	HGNC:9309
SJAG_03681	HGNC:9310
SJAG_03681	HGNC:9311
SJAG_03681	HGNC:9312
SJAG_03681	HGNC:9313
SJAG_03684	HGNC:11301
SJAG_04011	HGNC:4549
SJAG_01697	HGNC:11444
SJAG_01697	HGNC:11445
SJAG_01697	HGNC:11446
SJAG_00413	HGNC:93
SJAG_00402	HGNC:2454
SJAG_00402	HGNC:2455
SJAG_00402	HGNC:2456
SJAG_00390	HGNC:18119
SJAG_03884	HGNC:20816
SJAG_03888	HGNC:28967
SJAG_00765	HGNC:10312
SJAG_00384	HGNC:10312
SJAG_03894	HGNC:11117
SJAG_01702	HGNC:6050
SJAG_01702	HGNC:6051
SJAG_03899	HGNC:10922
SJAG_03899	HGNC:10923
SJAG_03899	HGNC:10924
SJAG_03899	HGNC:10925
SJAG_03899	HGNC:10926
SJAG_03899	HGNC:10927
SJAG_03899	HGNC:10928
SJAG_03899	HGNC:16270
SJAG_03899	HGNC:23520
SJAG_03899	HGNC:17027
SJAG_03899	HGNC:23093
SJAG_03899	HGNC:23094
SJAG_03899	HGNC:31037
SJAG_03899	HGNC:26417
SJAG_04027	HGNC:21524
SJAG_04027	HGNC:24547
SJAG_04027	HGNC:32423
SJAG_01492	HGNC:21524
SJAG_01492	HGNC:24547
SJAG_01492	HGNC:32423
SJAG_03492	HGNC:21524
SJAG_03492	HGNC:24547
SJAG_03492	HGNC:32423
SJAG_01850	HGNC:21524
SJAG_01850	HGNC:24547
SJAG_01850	HGNC:32423
SJAG_01690	HGNC:21524
SJAG_01690	HGNC:24547
SJAG_01690	HGNC:32423
SJAG_04643	HGNC:26942
SJAG_04642	HGNC:18175
SJAG_03371	HGNC:19902
SJAG_03371	HGNC:19903
SJAG_00739	HGNC:11106
SJAG_00739	HGNC:11107
SJAG_00739	HGNC:11108
SJAG_03363	HGNC:40
SJAG_03363	HGNC:42
SJAG_03363	HGNC:45
SJAG_03211	HGNC:11617
SJAG_00731	HGNC:20422
SJAG_03364	HGNC:10350
SJAG_03364	HGNC:17094
SJAG_00730	HGNC:13721
SJAG_03663	HGNC:25828
SJAG_00724	HGNC:3419
SJAG_00724	HGNC:24634
SJAG_03662	HGNC:19426
SJAG_03658	HGNC:69
SJAG_03366	HGNC:20995
SJAG_03366	HGNC:20996
SJAG_02853	HGNC:441
SJAG_02853	HGNC:437
SJAG_02853	HGNC:438
SJAG_02853	HGNC:439
SJAG_03367	HGNC:26653
SJAG_02726	HGNC:29533
SJAG_03174	HGNC:30325
SJAG_00718	HGNC:4616
SJAG_00718	HGNC:4617
SJAG_00681	HGNC:28454
SJAG_00681	HGNC:17943
SJAG_00681	HGNC:14236
SJAG_05342	HGNC:11057
SJAG_05342	HGNC:29326
SJAG_05342	HGNC:11060
SJAG_05342	HGNC:11061
SJAG_05342	HGNC:11062
SJAG_00682	HGNC:29140
SJAG_02741	HGNC:16091
SJAG_04387	HGNC:20766
SJAG_04387	HGNC:18809
SJAG_04387	HGNC:20768
SJAG_04387	HGNC:12408
SJAG_04387	HGNC:24071
SJAG_04387	HGNC:20765
SJAG_04387	HGNC:12407
SJAG_04387	HGNC:18637
SJAG_04387	HGNC:12410
SJAG_00684	HGNC:3968
SJAG_02499	HGNC:28945
SJAG_04790	HGNC:6617
SJAG_04790	HGNC:6622
SJAG_04790	HGNC:21773
SJAG_04790	HGNC:23444
SJAG_04790	HGNC:23455
SJAG_00685	HGNC:1185
SJAG_00688	HGNC:15606
SJAG_01183	HGNC:11027
SJAG_01183	HGNC:13811
SJAG_01183	HGNC:11028
SJAG_01183	HGNC:11029
SJAG_01183	HGNC:11030
SJAG_01183	HGNC:11033
SJAG_01183	HGNC:11034
SJAG_01183	HGNC:11035
SJAG_02302	HGNC:14880
SJAG_01489	HGNC:9548
SJAG_02506	HGNC:9189
SJAG_01490	HGNC:12590
SJAG_01231	HGNC:4912
SJAG_01231	HGNC:18344
SJAG_03476	HGNC:2419
SJAG_01491	HGNC:9202
SJAG_03479	HGNC:20082
SJAG_01463	HGNC:14514
SJAG_01586	HGNC:25920
SJAG_02598	HGNC:830
SJAG_01452	HGNC:5276
SJAG_01193	HGNC:1258
SJAG_01449	HGNC:9846
SJAG_01447	HGNC:864
SJAG_01447	HGNC:862
SJAG_01443	HGNC:12457
SJAG_01443	HGNC:28082
SJAG_01442	HGNC:25010
SJAG_00668	HGNC:11179
SJAG_01196	HGNC:16896
SJAG_01197	HGNC:2678
SJAG_04299	HGNC:12575
SJAG_03481	HGNC:20907
SJAG_03481	HGNC:23115
SJAG_02366	HGNC:667
SJAG_02366	HGNC:668
SJAG_02366	HGNC:669
SJAG_03484	HGNC:5724
SJAG_03484	HGNC:13761
SJAG_03495	HGNC:5542
SJAG_03497	HGNC:47
SJAG_04633	HGNC:9571
SJAG_02104	HGNC:2452
SJAG_02104	HGNC:2453
SJAG_03499	HGNC:20726
SJAG_02099	HGNC:25994
SJAG_04408	HGNC:1080
SJAG_04409	HGNC:6215
SJAG_04847	HGNC:10371
SJAG_02098	HGNC:17008
SJAG_04844	HGNC:9563
SJAG_03192	HGNC:14480
SJAG_01190	HGNC:2277
SJAG_01190	HGNC:2279
SJAG_02093	HGNC:9035
SJAG_02093	HGNC:9036
SJAG_02093	HGNC:9037
SJAG_02093	HGNC:30038
SJAG_02093	HGNC:24791
SJAG_02093	HGNC:27396
SJAG_02085	HGNC:14076
SJAG_02085	HGNC:23752
SJAG_02085	HGNC:23747
SJAG_02085	HGNC:23749
SJAG_02085	HGNC:23826
SJAG_04534	HGNC:10349
SJAG_02081	HGNC:10349
SJAG_04296	HGNC:11057
SJAG_04296	HGNC:29326
SJAG_04296	HGNC:11060
SJAG_04296	HGNC:11061
SJAG_04296	HGNC:11062
SJAG_04295	HGNC:10929
SJAG_04295	HGNC:10930
SJAG_04295	HGNC:10931
SJAG_04295	HGNC:10932
SJAG_04295	HGNC:10933
SJAG_04295	HGNC:16703
SJAG_04295	HGNC:16704
SJAG_04295	HGNC:20151
SJAG_04475	HGNC:10404
SJAG_02079	HGNC:9824
SJAG_02468	HGNC:8816
SJAG_03726	HGNC:2013
SJAG_03726	HGNC:571
SJAG_01992	HGNC:24351
SJAG_01992	HGNC:30403
SJAG_01992	HGNC:10784
SJAG_01990	HGNC:12876
SJAG_01990	HGNC:17127
SJAG_01990	HGNC:17128
SJAG_01989	HGNC:27696
SJAG_03731	HGNC:17217
SJAG_03731	HGNC:29284
SJAG_03731	HGNC:29150
SJAG_06603	HGNC:25223
SJAG_05926	HGNC:10530
SJAG_03763	HGNC:18961
SJAG_03763	HGNC:24578
SJAG_03792	HGNC:19876
SJAG_03792	HGNC:24543
SJAG_03713	HGNC:29030
SJAG_03794	HGNC:5270
SJAG_03794	HGNC:30718
SJAG_03794	HGNC:14886
SJAG_03794	HGNC:14887
SJAG_04856	HGNC:26274
SJAG_03795	HGNC:30077
SJAG_03795	HGNC:30078
SJAG_03737	HGNC:26212
SJAG_03797	HGNC:6176
SJAG_03805	HGNC:23639
SJAG_01512	HGNC:10389
SJAG_03762	HGNC:10389
SJAG_06253	HGNC:14036
SJAG_03011	HGNC:7602
SJAG_03011	HGNC:7603
SJAG_03011	HGNC:7604
SJAG_04316	HGNC:19743
SJAG_03009	HGNC:23703
SJAG_04859	HGNC:12266
SJAG_03010	HGNC:10832
SJAG_03007	HGNC:13652
SJAG_03848	HGNC:11430
SJAG_03848	HGNC:11442
SJAG_03848	HGNC:26437
SJAG_00133	HGNC:850
SJAG_04318	HGNC:10765
SJAG_02913	HGNC:3046
SJAG_04648	HGNC:31419
SJAG_04648	HGNC:27637
SJAG_03844	HGNC:18128
SJAG_03844	HGNC:14064
SJAG_02060	HGNC:20566
SJAG_02060	HGNC:16874
SJAG_02060	HGNC:30670
SJAG_05022	HGNC:19268
SJAG_03309	HGNC:16967
SJAG_03309	HGNC:3360
SJAG_03310	HGNC:30263
SJAG_03310	HGNC:9279
SJAG_02509	HGNC:20766
SJAG_02509	HGNC:18809
SJAG_02509	HGNC:20768
SJAG_02509	HGNC:12408
SJAG_02509	HGNC:24071
SJAG_02509	HGNC:20765
SJAG_02509	HGNC:12407
SJAG_02509	HGNC:18637
SJAG_02509	HGNC:12410
SJAG_03313	HGNC:84
SJAG_03313	HGNC:85
SJAG_02508	HGNC:24170
SJAG_03316	HGNC:4250
SJAG_03316	HGNC:4251
SJAG_03316	HGNC:4252
SJAG_03316	HGNC:4260
SJAG_03316	HGNC:16437
SJAG_03316	HGNC:18596
SJAG_03316	HGNC:33426
SJAG_03320	HGNC:1618
SJAG_05271	HGNC:12367
SJAG_03323	HGNC:10884
SJAG_00750	HGNC:14304
SJAG_00750	HGNC:30594
SJAG_00749	HGNC:10344
SJAG_03361	HGNC:678
SJAG_03361	HGNC:679
SJAG_02638	HGNC:15887
SJAG_02638	HGNC:24489
SJAG_02794	HGNC:20147
SJAG_02518	HGNC:16235
SJAG_02518	HGNC:24138
SJAG_02518	HGNC:24844
SJAG_03353	HGNC:9309
SJAG_03353	HGNC:9310
SJAG_03353	HGNC:9311
SJAG_03353	HGNC:9312
SJAG_03353	HGNC:9313
SJAG_03352	HGNC:3631
SJAG_03164	HGNC:12563
SJAG_00281	HGNC:4570
SJAG_03920	HGNC:10682
SJAG_03921	HGNC:30347
SJAG_03593	HGNC:29797
SJAG_01838	HGNC:29452
SJAG_01839	HGNC:24328
SJAG_03599	HGNC:25416
SJAG_00192	HGNC:13608
SJAG_00192	HGNC:16712
SJAG_00192	HGNC:13595
SJAG_01938	HGNC:18398
SJAG_03603	HGNC:11327
SJAG_01939	HGNC:22082
SJAG_00198	HGNC:6598
SJAG_03609	HGNC:23251
SJAG_03609	HGNC:16940
SJAG_03609	HGNC:23250
SJAG_03609	HGNC:18210
SJAG_03609	HGNC:23248
SJAG_03609	HGNC:23249
SJAG_03598	HGNC:8157
SJAG_01877	HGNC:29830
SJAG_04126	HGNC:12401
SJAG_04895	HGNC:17947
SJAG_04895	HGNC:26755
SJAG_02174	HGNC:4647
SJAG_02172	HGNC:30073
SJAG_04089	HGNC:9183
SJAG_05329	HGNC:19988
SJAG_02618	HGNC:29832
SJAG_04898	HGNC:25503
SJAG_02616	HGNC:25654
SJAG_04309	HGNC:13731
SJAG_04308	HGNC:25537
SJAG_02615	HGNC:21062
SJAG_04306	HGNC:22985
SJAG_04306	HGNC:9536
SJAG_04145	HGNC:18062
SJAG_04145	HGNC:4552
SJAG_04093	HGNC:13236
SJAG_04577	HGNC:758
SJAG_02622	HGNC:30626
SJAG_04899	HGNC:18803
SJAG_02605	HGNC:10011
SJAG_02297	HGNC:4057
SJAG_03940	HGNC:26759
SJAG_02293	HGNC:17581
SJAG_01325	HGNC:24343
SJAG_01763	HGNC:30863
SJAG_01762	HGNC:6945
SJAG_03263	HGNC:19681
SJAG_03263	HGNC:28161
SJAG_03263	HGNC:33237
SJAG_03263	HGNC:23481
SJAG_03263	HGNC:3069
SJAG_01760	HGNC:1866
SJAG_01760	HGNC:1867
SJAG_01760	HGNC:1868
SJAG_00341	HGNC:9928
SJAG_00762	HGNC:9565
SJAG_00763	HGNC:18798
SJAG_00763	HGNC:28689
SJAG_00382	HGNC:8550
SJAG_00359	HGNC:4341
SJAG_02335	HGNC:10402
SJAG_01296	HGNC:10402
SJAG_00358	HGNC:25481
SJAG_02322	HGNC:29118
SJAG_02322	HGNC:17735
SJAG_02322	HGNC:23787
SJAG_00353	HGNC:16827
SJAG_00380	HGNC:12713
SJAG_00027	HGNC:4141
SJAG_00027	HGNC:24864
SJAG_02945	HGNC:4141
SJAG_02945	HGNC:24864
SJAG_06621	HGNC:4141
SJAG_06621	HGNC:24864
SJAG_03828	HGNC:4141
SJAG_03828	HGNC:24864
SJAG_06622	HGNC:4141
SJAG_06622	HGNC:24864
SJAG_03903	HGNC:4141
SJAG_03903	HGNC:24864
SJAG_02135	HGNC:4141
SJAG_02135	HGNC:24864
SJAG_00029	HGNC:30964
SJAG_05326	HGNC:26239
SJAG_00566	HGNC:14378
SJAG_04163	HGNC:23244
SJAG_05237	HGNC:20922
SJAG_05237	HGNC:28748
SJAG_00769	HGNC:29010
SJAG_00769	HGNC:29187
SJAG_01471	HGNC:851
SJAG_01753	HGNC:6971
SJAG_01056	HGNC:30134
SJAG_01467	HGNC:15912
SJAG_01467	HGNC:27035
SJAG_01467	HGNC:27265
SJAG_01466	HGNC:7436
SJAG_01573	HGNC:25495
SJAG_02207	HGNC:10304
SJAG_04160	HGNC:10304
SJAG_01597	HGNC:20325
SJAG_01597	HGNC:30528
SJAG_04159	HGNC:33787
SJAG_01596	HGNC:9153
SJAG_02180	HGNC:3189
SJAG_02180	HGNC:3192
SJAG_04157	HGNC:3189
SJAG_04157	HGNC:3192
SJAG_01851	HGNC:3189
SJAG_01851	HGNC:3192
SJAG_01609	HGNC:10396
SJAG_03422	HGNC:10396
SJAG_02154	HGNC:21096
SJAG_02154	HGNC:28159
SJAG_02191	HGNC:21096
SJAG_02191	HGNC:28159
SJAG_01044	HGNC:29814
SJAG_04559	HGNC:24567
SJAG_04150	HGNC:25752
SJAG_16454	HGNC:20944
SJAG_16454	HGNC:30402
SJAG_06449	HGNC:28212
SJAG_04570	HGNC:21607
SJAG_04570	HGNC:21214
SJAG_03270	HGNC:28889
SJAG_02119	HGNC:2976
SJAG_02120	HGNC:11476
SJAG_03275	HGNC:4193
SJAG_03277	HGNC:3418
SJAG_05273	HGNC:1286
SJAG_04418	HGNC:18884
SJAG_04537	HGNC:8983
SJAG_03262	HGNC:10385
SJAG_04538	HGNC:20071
SJAG_00249	HGNC:12950
SJAG_03284	HGNC:14275
SJAG_04539	HGNC:12436
SJAG_02155	HGNC:30621
SJAG_02155	HGNC:26992
SJAG_02155	HGNC:28433
SJAG_00244	HGNC:29023
SJAG_00244	HGNC:29035
SJAG_04709	HGNC:14859
SJAG_04709	HGNC:12562
SJAG_00245	HGNC:30696
SJAG_03865	HGNC:21690
SJAG_02528	HGNC:12572
SJAG_02530	HGNC:13408
SJAG_03072	HGNC:9788
SJAG_02531	HGNC:10299
SJAG_03122	HGNC:10299
SJAG_02058	HGNC:11305
SJAG_02058	HGNC:11306
SJAG_02058	HGNC:11402
SJAG_02542	HGNC:16856
SJAG_02544	HGNC:15502
SJAG_02547	HGNC:21300
SJAG_00580	HGNC:3631
SJAG_02550	HGNC:17597
SJAG_00574	HGNC:16987
SJAG_04513	HGNC:4431
SJAG_04515	HGNC:21076
SJAG_04515	HGNC:21384
SJAG_04515	HGNC:20952
SJAG_00373	HGNC:29679
SJAG_03399	HGNC:28108
SJAG_03399	HGNC:21097
SJAG_01824	HGNC:8903
SJAG_03386	HGNC:11394
SJAG_01826	HGNC:15908
SJAG_05248	HGNC:10302
SJAG_02535	HGNC:10302
SJAG_01827	HGNC:4666
SJAG_01830	HGNC:24612
SJAG_03383	HGNC:10333
SJAG_02723	HGNC:3942
SJAG_05300	HGNC:8526
SJAG_02717	HGNC:27365
SJAG_02717	HGNC:4551
SJAG_04285	HGNC:29685
SJAG_03379	HGNC:7988
SJAG_03379	HGNC:7720
SJAG_03379	HGNC:16932
SJAG_03379	HGNC:6513
SJAG_02375	HGNC:16395
SJAG_02375	HGNC:16397
SJAG_02375	HGNC:16386
SJAG_03440	HGNC:8857
SJAG_02561	HGNC:2963
SJAG_02561	HGNC:2964
SJAG_03990	HGNC:25022
SJAG_03987	HGNC:2454
SJAG_03987	HGNC:2455
SJAG_03987	HGNC:2456
SJAG_02382	HGNC:18734
SJAG_03976	HGNC:6746
SJAG_02181	HGNC:9823
SJAG_03411	HGNC:11304
SJAG_03455	HGNC:4373
SJAG_03455	HGNC:4374
SJAG_03981	HGNC:6187
SJAG_04293	HGNC:18786
SJAG_04293	HGNC:18789
SJAG_03408	HGNC:9558
SJAG_00871	HGNC:14013
SJAG_03996	HGNC:28147
SJAG_04002	HGNC:2231
SJAG_04257	HGNC:26818
SJAG_00459	HGNC:2244
SJAG_00813	HGNC:15898
SJAG_00821	HGNC:11357
SJAG_00821	HGNC:11358
SJAG_00438	HGNC:833
SJAG_04252	HGNC:25988
SJAG_00439	HGNC:19083
SJAG_00439	HGNC:2000
SJAG_02695	HGNC:2711
SJAG_04229	HGNC:9537
SJAG_00443	HGNC:12651
SJAG_04222	HGNC:30551
SJAG_02700	HGNC:1491
SJAG_03237	HGNC:5232
SJAG_03237	HGNC:5233
SJAG_03237	HGNC:5234
SJAG_03237	HGNC:5235
SJAG_03237	HGNC:5239
SJAG_03237	HGNC:5241
SJAG_03235	HGNC:5215
SJAG_04223	HGNC:26515
SJAG_04223	HGNC:25819
SJAG_03232	HGNC:7234
SJAG_04213	HGNC:11103
SJAG_03231	HGNC:798
SJAG_02691	HGNC:11612
