#systematic_id	primary_name	product
SJAG_02047		TENA/THI family protein, domain found in context with a broad range of enzymes
SJAG_01742		TENA/THI family protein, domain found in context with a broad range of enzymes
SJAG_01973		plasma membrane fluoride export channel
SJAG_02580		extracellular 5'-nucleotidase, human NT5E family
SJAG_02959		extracellular 5'-nucleotidase, human NT5E family
SJAG_01171		cell wall glycoside hydrolase, family 5
SJAG_05001		cell wall glycoside hydrolase, family 5
SJAG_03824		cell wall glycoside hydrolase, family 5
SJAG_04073		conserved fungal cell surface protein, Kre9/Knh1 family
SJAG_03521		conserved fungal cell surface protein, Kre9/Knh1 family
SJAG_01086		conserved fungal cell surface protein, Kre9/Knh1 family
SJAG_02173		conserved fungal cell surface protein, Kre9/Knh1 family
SJAG_04525		conserved fungal cell surface protein, Kre9/Knh1 family
SJAG_03826 		GLEYA adhesin domain
SJAG_00239		GLEYA adhesin domain
SJAG_01975		GLEYA adhesin domain
SJAG_02958		plasma membrane sugar transporter family
SJAG_03608		plasma membrane sugar transporter family
SJAG_04068		plasma membrane sugar transporter family
SJAG_01186		heat shock protein, Hsp70 family,  Ssa-like
SJAG_04055		heat shock protein, Hsp70 family, Ssa-like
SJAG_06597		RecQ type DNA helicase, telomeric
SJAG_06642		RecQ type DNA helicase, telomeric
SJAG_05353		RecQ type DNA helicase, telomeric
SJAG_05105		RecQ type DNA helicase, telomeric
SJAG_05173		RecQ type DNA helicase, telomeric
SJAG_00179		glutathione S-transferase
SJAG_03863		glutathione S-transferase
SJAG_01543		NADP-dependent oxidoreductase domain
SJAG_03828		glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain
SJAG_00027		glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain
SJAG_02945		glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain
SJAG_02135		glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain
SJAG_03903		glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain
SJAG_06622		glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain
SJAG_06621		glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain
SJAG_02734		pyruvate decarboxylase family protein
SJAG_04842		pyruvate decarboxylase family protein
SJAG_01113		mating-type transcription factor (Pc-like)
SJAG_05153		mating-type transcription factor (Mc-like)
SJAG_00673	bio3	7,8-diamino-pelargonic acid aminotransferase (DAPA)
SJAG_01739		Dynactin subunit 4
SJAG_00124		NRG1-like trancriptional repressor, zinc finger C2H2-type
SJAG_03322	cox11	cytochrome c oxidase assembly protein Cox11
SJAG_04695	rps10b	40S ribosomal protein S10
SJAG_02904	rps10a	40S ribosomal protein S10
SJAG_00155	rpl21b	60S ribosomal protein L21
SJAG_01202	rpl21a	60S ribosomal protein L21
SJAG_02312	rpl8a	60S ribosomal protein L8/L2
SJAG_00034	rpl8b	60S ribosomal protein L8/L2
SJAG_00503	rps11a	40S ribosomal protein S11
SJAG_00069	rps11b	40S ribosomal protein S11
SJAG_00166	rpl35Aa	60S ribosomal protein L35A
SJAG_04414	rpl35Ab	60S ribosomal protein L35A
SJAG_00465	rpl11b	60S ribosomal protein L11
SJAG_02280	rpl11a	60S ribosomal protein L11
SJAG_01132	rps13b	40S ribosomal protein S13
SJAG_01387	rps13a	40S ribosomal protein S13
SJAG_03335	rpl18b	60S ribosomal protein L18
SJAG_02597    	rpl18a	60S ribosomal protein L18
SJAG_02535	rpl12b	60S ribosomal protein L12.1/L12A
SJAG_05248	rpl12a	60S ribosomal protein L12.1/L12A
SJAG_01322	rpl301	60S ribosomal protein L3
SJAG_02611	rpl302	60S ribosomal protein L3
SJAG_03262	rps12	40S ribosomal protein S12
SJAG_02861	rps18b	40S ribosomal protein S18
SJAG_04188	rps18a	40S ribosomal protein S18
SJAG_03762	rps22a	40S ribosomal protein S15a
SJAG_01512	rps22b	40S ribosomal protein S15a
SJAG_02510	rpl43a	60S ribosomal protein L37a
SJAG_03043	rpl43b	60S ribosomal protein L37a
SJAG_02335	rps19b	40S ribosomal protein S19
SJAG_01296	rps19a	40S ribosomal protein S19
SJAG_04066	rpl5b	60S ribosomal protein L5
SJAG_01568	rpl5a	60S ribosomal protein L5
SJAG_00748	rpl9b	60S ribosomal protein L9
SJAG_00629	rpl9a	60S ribosomal protein L9
SJAG_02207	rpl16b	60S ribosomal protein L13/L16
SJAG_04160	rpl16a	60S ribosomal protein L13/L16
SJAG_02522	rps1a	40S ribosomal protein S3a
SJAG_00733	rps1b	40S ribosomal protein S3a
SJAG_01609	rps16b	40S ribosomal protein S16
SJAG_03422	rps16a	40S ribosomal protein S16
SJAG_04168	rps17a	40S ribosomal protein S17
SJAG_04204	rps17b	40S ribosomal protein S17
SJAG_02585	rps24a	40S ribosomal protein S24
SJAG_00468	rps24b	40S ribosomal protein S24
SJAG_03122	rpl1b	60S ribosomal protein L10a
SJAG_02531	rpl1a	60S ribosomal protein L10a
SJAG_04534	rpl38a	60S ribosomal protein L38
SJAG_02081	rpl38b	60S ribosomal protein L38
SJAG_04998		ribosomal protein S27, zinc-binding domain superfamily (S27-like)
SJAG_00544	rps9b	40S ribosomal protein S9
SJAG_04342	rps9a	40S ribosomal protein S9
SJAG_03159	rpl28a	60S ribosomal protein L27/L28
SJAG_02546	rpl28b	60S ribosomal protein L27/L28
SJAG_03922	rpl24b	60S ribosomal protein L24
SJAG_02243	rpl24a	60S ribosomal protein L24
SJAG_01608	rpl13a	60S ribosomal protein L13
SJAG_03423	rpl13b	60S ribosomal protein L13
SJAG_03383	rpl30	60S ribosomal protein L30
SJAG_03326	rpl37a	60S ribosomal protein L37
SJAG_01194	rpl37b	60S ribosomal protein L37
SJAG_01676	rpl31b	60S ribosomal protein L31
SJAG_02755	rpl31a	60S ribosomal protein L31
SJAG_00765	rpl19b	60S ribosomal protein L19
SJAG_00384	rpl19a	60S ribosomal protein L19
SJAG_04663	rps403	40S ribosomal protein S4
SJAG_04324	rps402	40S ribosomal protein S4
SJAG_02802	rpl27b	60S ribosomal protein L27
SJAG_01588	rpl27a	60S ribosomal protein L27
SJAG_04897	rpl20Aa	60S ribosomal protein L20A
SJAG_02283	rpl20Ab	60S ribosomal protein L20A
SJAG_01565	rpl32b	60S ribosomal protein L32
SJAG_01580	rpl32a	60S ribosomal protein L32
SJAG_04478	rpl15a	60S ribosomal protein L15
SJAG_03919	rpl15b	60S ribosomal protein L15
SJAG_05216	rpl34b	60S ribosomal protein L34
SJAG_01853	rpl34a	60S ribosomal protein L34
SJAG_01366	rpl26b	40S ribosomal protein S26
SJAG_02894	rpl26a	40S ribosomal protein S26
SJAG_01548	rps14a	40S ribosomal protein S14
SJAG_03424	rps14b	40S ribosomal protein S14
SJAG_02020	rps8a	40S ribosomal protein S8
SJAG_04029	rps8b	40S ribosomal protein S8
SJAG_03197	rpl23a	60S ribosomal protein L23
SJAG_01087	rpl23b	60S ribosomal protein L23
SJAG_01364	rpl14	60S ribosomal protein L14
SJAG_04672	rps25	40S ribosomal protein S25
SJAG_01721	rpl17a	60S ribosomal protein L17
SJAG_00940	rpl17b	60S ribosomal protein L17
SJAG_03034	rps6b	40S ribosomal protein S6
SJAG_03859	rps6a	40S ribosomal protein S6
SJAG_02840	rpl25b	60S ribosomal protein L25
SJAG_04304	rpl25a	60S ribosomal protein L25
SJAG_06612	rpl4	60S ribosomal protein L4
SJAG_02121	rpl36a	60S ribosomal protein L36
SJAG_03133	rpl36b	60S ribosomal protein L36
SJAG_01128	rpp202	ribosomal protein P2
SJAG_02871	rpp203	ribosomal protein P2
SJAG_04020	rpp1b	ribosomal protein P1
SJAG_01411	rpp1a	ribosomal protein P1
SJAG_04256	rps15a	40S ribosomal protein S15
SJAG_02870	rps15b	40S ribosomal protein S15
SJAG_00303	hhf3	histone H4 h4.3
SJAG_00336	hhf1	histone H4 h4.1
SJAG_03542	hhf2	histone H4 h4.2
SJAG_00335	hht1	histone H3
SJAG_03543	hht2	histone H3
SJAG_00302	hht3	histone H3
SJAG_01438	eft2a	translation elongation factor 2 (EF-2) Eft2
SJAG_05332	eft2b	translation elongation factor 2 (EF-2) Eft2
SJAG_01851	tef102	translation elongation factor EF-1 alpha Ef1a
SJAG_02180	tef101	translation elongation factor EF-1 alpha Ef1a
SJAG_04157	tef103	translation elongation factor EF-1 alpha Ef1a
SJAG_01365	ubi2	ribosomal-ubiquitin fusion protein
SJAG_03971	ubi1	ribosomal-ubiquitin fusion protein
SJAG_02891	ubi3	ribosomal-ubiquitin fusion protein
SJAG_01226	ubi5	ribosomal-ubiquitin fusion protein
SJAG_02253	ubi3	ribosomal-ubiquitin fusion protein
