SJAG_05269	SPAC8C9.09c
SJAG_03493	SPCC737.05
SJAG_03495	SPCC737.07c
SJAG_03497	SPCC737.09c
SJAG_04633	SPBP4G3.03
SJAG_02104	SPAC23C4.12
SJAG_03499	SPCC74.01
SJAG_02099	SPAC23C4.17
SJAG_02751	SPCC18.02
SJAG_04408	SPCC18.07
SJAG_04409	SPCC18.08
SJAG_04847	SPCC18.14c
SJAG_02098	SPAC23C4.18c
SJAG_04844	SPCC18.17c
SJAG_03192	SPCC1739.02c
SJAG_01190	SPCC1739.09c
SJAG_02093	SPAC1A6.03c
SJAG_01189	SPCC1739.10
SJAG_02085	SPAC1A6.09c
SJAG_04534	SPAC30D11.12
SJAG_02081	SPAC30D11.12
SJAG_04296	SPCPB1C11.02
SJAG_04298	SPCC576.02
SJAG_04295	SPBPB10D8.01
SJAG_04475	SPCC576.08c
SJAG_02079	SPAC30D11.10
SJAG_02468	SPCC576.15c
SJAG_03808	SPCC576.17c
SJAG_03726	SPAC30D11.05
SJAG_01992	SPCC126.07c
SJAG_01990	SPCC126.09
SJAG_01989	SPCC126.10
SJAG_03731	SPAC56F8.02
SJAG_06603	SPAC56F8.04c
SJAG_04867	SPBC1683.10c
SJAG_05926	SPCC126.13c
SJAG_05314	SPCC1620.13
SJAG_03763	SPAC56F8.08
SJAG_00162	SPBC1198.03c
SJAG_03792	SPCC830.05c
SJAG_03713	SPAC56F8.09
SJAG_03794	SPCC830.07c
SJAG_04856	SPBC1198.10c
SJAG_03795	SPCC830.08c
SJAG_03737	SPAC56F8.11
SJAG_03797	SPCC830.10
SJAG_05308	SPAC56F8.12
SJAG_04857	SPBC1198.09
SJAG_03735	SPAC56F8.16
SJAG_03805	SPCC1919.05
SJAG_01512	SPAC22A12.04c
SJAG_03762	SPAC22A12.04c
SJAG_06253	SPCC1919.08c
SJAG_03011	SPCC1919.10c
SJAG_04316	SPAC22A12.07c
SJAG_03009	SPCC1919.12c
SJAG_04859	SPBC660.07
SJAG_03010	SPCC1919.11
SJAG_03007	SPCC1919.14c
SJAG_03848	SPBC31E1.04
SJAG_00133	SPCC1840.06
SJAG_04318	SPAC22A12.09c
SJAG_02913	SPAC22A12.13
SJAG_02152	SPCC965.13
SJAG_04648	SPCC1494.08c
SJAG_03844	SPBC800.03
SJAG_03974	SPCC70.12c
SJAG_05031	SPAC4C5.03
SJAG_04659	SPCC70.09c
SJAG_04051	SPCP1E11.03
SJAG_02060	SPCC569.05c
SJAG_05022	SPAC10F6.05c
SJAG_03309	SPAC10F6.16
SJAG_03310	SPAC10F6.17c
SJAG_02509	SPBC800.05c
SJAG_03313	SPAC56E4.04c
SJAG_02508	SPBC800.06
SJAG_03316	SPAC56E4.06c
SJAG_03320	SPAC1420.02c
SJAG_05271	SPBC800.07c
SJAG_03322	SPAC1420.04c
SJAG_03323	SPAPB17E12.02
SJAG_03327	SPAPB17E12.06
SJAG_04829	SPCC613.01
SJAG_00750	SPCC613.04c
SJAG_03368	SPAC6F12.04
SJAG_00749	SPCC613.05c
SJAG_03362	SPAC6F12.05c
SJAG_03361	SPAC6F12.06
SJAG_00500	SPCC330.01c
SJAG_03613	SPCC330.01c
SJAG_02638	SPBC800.09
SJAG_02794	SPCC330.03c
SJAG_02518	SPBC1773.09c
SJAG_03353	SPAC6F12.12
SJAG_03352	SPAC6F12.13c
SJAG_03164	SPCC330.05c
SJAG_00281	SPBC1773.17c
SJAG_04134	SPBC1271.10c
SJAG_03920	SPCC330.12c
SJAG_03921	SPCC330.13
SJAG_03593	SPAC19E9.01c
SJAG_01838	SPCC320.12
SJAG_01839	SPCC320.11c
SJAG_03600	SPAC57A10.04
SJAG_03599	SPAC57A10.14
SJAG_01930	SPCC320.03
SJAG_00192	SPAC57A10.05c
SJAG_01935	SPCC1235.02
SJAG_01938	SPCC1235.05c
SJAG_03603	SPAC57A10.09c
SJAG_01939	SPCC1235.16
SJAG_03608	SPCC1235.14
SJAG_00198	SPAC20G8.01
SJAG_03609	SPCC1235.15
SJAG_03598	SPAC20G8.07c
SJAG_01877	SPAC20G8.09c
SJAG_04126	SPBC106.01
SJAG_02140	SPCC794.06
SJAG_04895	SPAC3A12.08
SJAG_02174	SPCC553.11c
SJAG_04896	SPAC3A12.09c
SJAG_02172	SPCC553.09c
SJAG_04089	SPCC553.07c
SJAG_05329	SPBC106.09
SJAG_02618	SPCC553.02
SJAG_04898	SPAC3A12.11c
SJAG_02616	SPCC553.01c
SJAG_04309	SPBC106.13
SJAG_04308	SPBC106.14c
SJAG_02615	SPCC736.03c
SJAG_04306	SPBC106.16
SJAG_04305	SPBC106.17c
SJAG_04959	SPBC106.19
SJAG_04095	SPCC736.04c
SJAG_04145	SPBC582.08
SJAG_04147	SPBC582.10c
SJAG_04093	SPCC736.07c
SJAG_05320	SPCC736.10c
SJAG_04577	SPBC428.05c
SJAG_02622	SPCC736.12c
SJAG_02972	SPBC428.11
SJAG_04899	SPAC3A12.12
SJAG_02605	SPBC428.16c
SJAG_02297	SPAC3A12.18
SJAG_03940	SPBC902.03
SJAG_02293	SPAC9.06c
SJAG_01325	SPCC594.05c
SJAG_01763	SPCC1682.01
SJAG_04432	SPAC167.04
SJAG_01762	SPCC1682.02c
SJAG_03263	SPBC1685.01
SJAG_06425	SPAC167.09
SJAG_01760	SPCC1682.04
SJAG_03259	SPBC1685.04
SJAG_00759	SPCC1682.08c
SJAG_00341	SPAC23H4.18c
SJAG_00762	SPCC1682.10
SJAG_02338	SPBC1685.13
SJAG_00381	SPAC23H4.10c
SJAG_00763	SPCC1682.11c
SJAG_00382	SPAC23H4.09
SJAG_02337	SPBC1685.14c
SJAG_00359	SPAC23H4.06
SJAG_02335	SPBC649.02
SJAG_01296	SPBC649.02
SJAG_00358	SPAC23H4.04
SJAG_00765	SPCC1682.14
SJAG_00384	SPCC1682.14
SJAG_02322	SPBC354.08c
SJAG_00354	SPAP27G11.02
SJAG_00353	SPAP27G11.03
SJAG_00380	SPAP27G11.05c
SJAG_00376	SPAP27G11.09c
SJAG_00027	SPBC354.12
SJAG_02945	SPBC354.12
SJAG_06621	SPBC354.12
SJAG_03828	SPBC354.12
SJAG_06622	SPBC354.12
SJAG_03903	SPBC354.12
SJAG_02135	SPBC354.12
SJAG_00029	SPBC354.14c
SJAG_05326	SPBC839.19
SJAG_00566	SPAP27G11.13c
SJAG_04163	SPBC839.10
SJAG_05237	SPAP27G11.15
SJAG_00769	SPCC306.04c
SJAG_01471	SPAC343.05
SJAG_00771	SPCC306.06c
SJAG_01753	SPCC306.08c
SJAG_01469	SPAC343.07
SJAG_01056	SPCC4G3.18
SJAG_01467	SPAC343.09
SJAG_01466	SPAC343.10
SJAG_01578	SPAC343.12
SJAG_01573	SPAC343.17c
SJAG_01574	SPAC343.16
SJAG_02207	SPBC839.13c
SJAG_04160	SPBC839.13c
SJAG_01597	SPAC824.06
SJAG_04159	SPBC839.14c
SJAG_01596	SPAC824.07
SJAG_01050	SPCC4G3.11
SJAG_02180	SPBC839.15c
SJAG_04157	SPBC839.15c
SJAG_01851	SPBC839.15c
SJAG_01609	SPAC664.04c
SJAG_03422	SPAC664.04c
SJAG_02154	SPBC115.03
SJAG_02191	SPBC115.03
SJAG_01044	SPCC4G3.05c
SJAG_04152	SPBC947.15c
SJAG_05225	SPAC17A5.05c
SJAG_04559	SPBC947.13
SJAG_04150	SPBC947.11c
SJAG_16454	SPAC17A5.07c
SJAG_06449	SPBC947.03c
SJAG_04570	SPBPJ4664.05
SJAG_03270	SPAC17A5.08
SJAG_02119	SPCC970.07c
SJAG_02120	SPCC970.06
SJAG_03275	SPAC17A5.13
SJAG_03277	SPAC17A5.15c
SJAG_05273	SPCC970.12
SJAG_04534	SPBC577.02
SJAG_02081	SPBC577.02
SJAG_04418	SPCP31B10.05
SJAG_04537	SPBC577.06c
SJAG_03262	SPCC962.04
SJAG_04538	SPBC577.07
SJAG_00249	SPCC962.06c
SJAG_03284	SPAC1610.02c
SJAG_00248	SPCC1672.01
SJAG_03282	SPAC1610.04
SJAG_00247	SPCC1672.02c
SJAG_04539	SPBC577.08c
SJAG_02155	SPBC530.02
SJAG_03281	SPAC1002.02
SJAG_01740	SPBC530.05
SJAG_00244	SPCC1672.06c
SJAG_04709	SPAC1002.17c
SJAG_00245	SPCC1672.07
SJAG_04711	SPAC1002.19
SJAG_03865	SPCC1672.12c
SJAG_02528	SPCC1183.06
SJAG_03074	SPAPB1A10.08
SJAG_02530	SPCC1183.07
SJAG_03072	SPAPB1A10.10c
SJAG_02531	SPCC1183.08c
SJAG_03122	SPCC1183.08c
SJAG_02537	SPCC31H12.06
SJAG_02058	SPBC530.14c
SJAG_02060	SPBC36.01c
SJAG_02542	SPCC5E4.04
SJAG_02544	SPCC5E4.10c
SJAG_02060	SPBC36.02c
SJAG_02547	SPCC16C4.19
SJAG_00580	SPBC36.06c
SJAG_02549	SPCC16C4.20c
SJAG_00575	SPBC36.11
SJAG_02550	SPCC16C4.02c
SJAG_00574	SPBC36.12c
SJAG_04512	SPAP14E8.02
SJAG_02554	SPCC16C4.07
SJAG_04513	SPAP14E8.03
SJAG_04515	SPAP14E8.05c
SJAG_00569	SPBC713.08
SJAG_00373	SPBC713.10
SJAG_03395	SPAC3H1.04c
SJAG_00372	SPBC713.11c
SJAG_03399	SPAC3H1.08c
SJAG_01824	SPCC16C4.10
SJAG_03386	SPAC3H1.13
SJAG_01826	SPCC16C4.12
SJAG_05248	SPCC16C4.13c
SJAG_02535	SPCC16C4.13c
SJAG_00366	SPBC216.03
SJAG_01827	SPCC16C4.14c
SJAG_01830	SPCC16C4.16c
SJAG_03383	SPAC9G1.03c
SJAG_02723	SPBC216.07c
SJAG_04273	SPCC16C4.17
SJAG_05300	SPAC9G1.04
SJAG_02717	SPBC646.07c
SJAG_04285	SPCC18B5.08c
SJAG_03379	SPAC9G1.06c
SJAG_02375	SPBC646.08c
SJAG_03440	SPBC646.15c
SJAG_03374	SPAC9G1.11c
SJAG_02561	SPBC646.17c
SJAG_03990	SPBP35G2.02
SJAG_03987	SPBP35G2.05c
SJAG_02382	SPAC17H9.02
SJAG_03976	SPBP35G2.11c
SJAG_02181	SPAC17H9.03c
SJAG_03411	SPAC17H9.07
SJAG_03455	SPAC17H9.11
SJAG_16457	SPBP35G2.14
SJAG_03981	SPBC146.01
SJAG_04293	SPCC1020.12c
SJAG_03408	SPAC607.05
SJAG_03407	SPAC607.06c
SJAG_04268	SPCC1020.10
SJAG_00871	SPBC146.03c
SJAG_04258	SPCC1020.01c
SJAG_03996	SPBC146.08c
SJAG_04002	SPBC146.14c
SJAG_04257	SPCC1393.02c
SJAG_02712	SPAC3C7.06c
SJAG_00459	SPBC337.15c
SJAG_00813	SPBC1734.01c
SJAG_00821	SPBC1734.08
SJAG_04253	SPCC1393.05
SJAG_00438	SPBC1734.13
SJAG_04252	SPCC1393.06c
SJAG_04241	SPCC2H8.02
SJAG_04239	SPCC2H8.05c
SJAG_00439	SPBC1734.14c
SJAG_02695	SPAC3C7.12
SJAG_04229	SPCC63.12c
SJAG_00442	SPBC1709.01
SJAG_00443	SPBC1709.02c
SJAG_04222	SPCC16A11.05c
SJAG_02700	SPAC631.01c
SJAG_03237	SPBC1709.05
SJAG_03235	SPBC1709.07
SJAG_04223	SPCC16A11.07
SJAG_03234	SPBC1709.20
SJAG_04219	SPCC16A11.08
SJAG_03232	SPBC1709.09
SJAG_04213	SPCC16A11.14
SJAG_03231	SPBC1709.10c
SJAG_02691	SPAC20H4.03c
SJAG_06355	SPCC24B10.03
SJAG_04206	SPCC24B10.07
SJAG_02690	SPAC20H4.04
SJAG_02688	SPAC20H4.06c
SJAG_03230	SPBC1709.11c
SJAG_04168	SPCC24B10.09
SJAG_04204	SPCC24B10.09
SJAG_03227	SPBC1709.14
SJAG_04199	SPCC24B10.14c
SJAG_03224	SPBC1709.17
SJAG_04196	SPCC24B10.17
SJAG_04192	SPCC24B10.21
SJAG_02658	SPCC24B10.22
SJAG_03223	SPBC1709.18
SJAG_04679	SPCPB16A4.05c
SJAG_03222	SPBC1709.19c
SJAG_00787	SPCC1795.12c
SJAG_03221	SPBC409.03
SJAG_00784	SPCC1795.09
SJAG_00783	SPCC1795.08c
SJAG_00781	SPCC1795.06
SJAG_03219	SPBC409.05
SJAG_03535	SPCC825.02
SJAG_03537	SPCC825.04c
SJAG_02364	SPBC409.10
SJAG_02861	SPCC1259.01c
SJAG_04188	SPCC1259.01c
SJAG_00757	SPAC20H4.07
SJAG_02362	SPBC409.12c
SJAG_02359	SPBC409.14c
SJAG_02687	SPAC20H4.08
SJAG_02684	SPAC20H4.11c
SJAG_02357	SPBC409.17c
SJAG_02681	SPAC23C11.03
SJAG_02356	SPBC409.18
SJAG_02354	SPBC409.21
SJAG_02352	SPBC1306.02
SJAG_02351	SPBC4.01
SJAG_04106	SPCC1259.03
SJAG_02349	SPBC4.03c
SJAG_00867	SPCC1259.08
SJAG_00866	SPCC1259.09c
SJAG_01678	SPCC1259.12c
SJAG_02348	SPBC4.04c
SJAG_01679	SPCC1259.15c
SJAG_02680	SPAC23C11.04c
SJAG_00701	SPBC725.08
SJAG_00698	SPBC725.11c
SJAG_01803	SPAC23C11.14
SJAG_01078	SPAC23C11.14
SJAG_01806	SPAC23C11.17
SJAG_04041	SPAC1783.02c
SJAG_06309	SPAC1783.06c
SJAG_00694	SPBC725.15
SJAG_03915	SPAC18G6.03
SJAG_01143	SPCC4B3.15
SJAG_03914	SPAC18G6.04c
SJAG_01145	SPCC4B3.13
SJAG_01744	SPAC18G6.11c
SJAG_01150	SPCC4B3.07
SJAG_04109	SPCC4B3.05c
SJAG_04111	SPCC4B3.03c
SJAG_01685	SPCC550.09
SJAG_03697	SPCC550.15c
SJAG_03704	SPCC645.06c
SJAG_05244	SPCC645.09
SJAG_02045	SPAC18G6.15
SJAG_01704	SPCC645.10
SJAG_02041	SPAC13D6.04c
SJAG_01707	SPCC645.13
